a   日曰
tv  芒姜甚茫萋萎萇葛農蓑羯鞍養艱藹茛荌莨荽菨菵蒆葽葚葳葌蒎荽菨菵蒆葽葚葳葌蒎葨蒗蔉蔞鞎蕵薞薳藒鞨鞻蘘蘡蘹蘾嬊莀葁蓘蓭蔅薗藵羪蒌蔢蔼蔼蕽鞖
tw  曲苗蓄蔔蕃蕾薔藩蘭苖茜莤菑菄菗蒏葍蔯蕕羳藟蘠葘蒥韊蔷鞧
tx  蕭舊薺萏蓞鞱
ty  莓菸菲芐苳蔠蘼苄荩鞐
u   山
ua  岶峋崏嶆嶍嶒嶜峕崉旹
ub  峭崩崙崤嵩峟峬崝嵎崹嵽嶠巂雟巋岄崘巁嵪嵴
uc  嶼嶺顓巔岤崟崸嵿顗巑崯嵮巓嵰
ud  崢嶸崞崺嵥嵲嶪櫱糱孼峥崊嶫巈粜岽嵘
ue  岐岌峻岋岥崚嵕岅崡嵈嵏嵻敱汖凼巎巙
uf  炭祟崇嵨嶕嶚嶋嶌嶛嶣
ug  崖崔峌峚崲嵀嶊嶉巏糶埊峑崕崜嶳嶻凷嵟
uh  匕岈岉嵃崵嵺嵾岎嵗豒屶嵶
ui  峙幽峨蚩崧嵐巉巍屻岭嵫崶嵬嶈嵹嶟嶬嶯巀颽巇蠥岺峩峵崻嵵嶎嶘嶹岁岃
uj  岸峰峷崋崥崒嵙輋嶂嶧嶭峯崪辥屽岼
uk  凶嶽巖岆岟敳獃巘峳峺嵄嵠嶶巌巗岖岗岚峧巚
ul  耑嶄屮岓岕岬峏酆酅峁峫嶃嶿邖岇峤崭崭
um  崆嵯岯岨峘嵼亗屸岴岻峜嶐屵屿屿崄嵖嵟嵡嵳嵳翙
un  屹岑凱剴岒岪峛峓剬崳崱嵉剻峢嵛凯刿剀峲
uo  峽崁嵌嶔豳峐崨崍崼歂嵷嶡嶮嶷嵸嶑嶥欪嵚嵚巅颛
up  岷崑岮峔鬯崽嵊巃崐嶾巄
uq  嵂嶙嶰峍峄崅
ur  岩峒峪崎嶇岵岣岢岧峉峇峈峆峿峮崌崮嵅嵱嵣嵢巆岹峝峼崓嵓嶦岾嵜訔
us  屴岠岝岰峸崿嶀嶗嶲屷岞嵭岿崂
ut  豈嶝豐豔岍岦峡嵦巐豓峅崃
uu  出兇峴崛崗覬艷屼屺屾艸岏峗峞芔崦嵋茻嶢乢岀岜嶏嶤岂岘岲峣峣崫觊
uv  崴峖峎崀崣嵁嵑嶁嶱嶩巕妛崾巊嵔嵝
uw  岫崠崰崷嵧嶓崬峀
uy  嶵嶖峂峠嵡翙
v   女
va  娼婚絢緒縉縮織繒繪響媎媋絔嬂緡曫姰媘嬒絈緍緖绚绪缗缗缙缙缩缯
vb  帑娟納婦婿媾絹嫡嫦綿綸嬌締編縞繃妠姌姷姵帤婧婂媦媥媩媏絺綃嫞綪緉嫷縃縎嬭嬬縭繘繑繻孈纗嫺姉姢娋婨媀媂媖媠嬵絠綳緭繝娲牅纳绡绢绬绵緭缔缔编缟缡
vc  嫌縑縝嬪績縯繽續鑾娸婰媜嫇嫹嬇嬚縜繢嬾纊纈纘娂娦娯媍嫃嫧嬩嬹嬻綨緽繏纉娅嫔嫔纐织缜缣缤缤缵銺
vd  好她妹紆巢媒彙綑綵嫻槳樂繅孿姀孥姝婐婇絁媟媬媃絑嫀綍綒嫭綧綝嬠縔縥繰欒婅婙媇媣嬫孧桇牀絉継綶緤緥縧纅娴嫲牃纡纬练练绦继缫缲
ve  奴妓級媛嫂綾綠綴綬漿線緞緩縵彔娵婈婌婽絿綅嫚嫝緅緮嬡繌繓孇纋収娺娽嬳彠灓紴緑緵縀嫒嫒级绂绫绶绿缀缎缐缓缦
vf  糸災妳絮絲媽嫖嫘嫣綜嫵練駑縲縹繚鷥鸞紑婃婒婛焋媯嫄嫊嫬緂綡嫽嫶縓縤鴢縩鴽嬿繺鶅纁鶨鶭妚媡嫼嬀煭縬糹繋繎纝综缥缧缧缭鴑
vg  壯妞妊娃姪娌紐絰維纏妵姾娗紝婬娾紸媓絓絟綎墏緟嬞嬥嬯繀雝纆纙姙婎媉媑孉経絍緸緾纒纴纽绖维缠
vh  妙姊娣紗紛緲繆縿妢妼娏紾婸綈絼嫪緆糿乡纱纷绣绨缈缪缪
vi  妁姆戕紂紉約娥紜將絃幾縛嬤繈繼蠡纔蠻妘妐妶姈紈紘娹紶紨媸媿媷嫥縟嬦縳螿繜蠁孎蠿厶婏嬟嬷幺紭紷絵綋綫繦妫絋繧纣约纨纩纫纭纮线绘缚缛蚃
vj  奸婢絨綽嬋緝緙縫繹奷妦妺娀紏婞婥婩婻媶嫜綷綼嫴嬅緷縡繂縪縺繟姧姸婵媈嬕綘緈縙纄卛娨紣纤绒绰缂缉缝
vk  收妖狀姣姻奘娛紋紱絞嫉嫩獎緻繳變妏姎紁奊娭紎紻媄絪媺綆嫫綟緛緶緱嬓縸繖嬽奱孍奬妜妭娐娱媆嬍緓夨妪絥縘纲纹绞绠绬续缏缑缴缴
vl  糾娜姬紳鄉綁緬斷凵妎妡妽斨紃娕紖紒媔絒綀鄛姫婣嫏断紤繍邚郷鄊鄕丩妕娇婶嬶綥緕纠纼绅绑缅
vm  姐姓紅組經綞纖爿丱妅姏妲姃姮娙婭紺絊娷媗嫋緎綖嫿緪嬗嬔縒繣繵孅姗娫娬嫅嫤嬎彑絙絚縇繮纎丝妇妈妈娅縆繊纟红纻线绀组绉经经维缍缰驽驽鸶
vn  妤弩姨紇剝紼婷剿彎妗糽姼娳紓紟紵媮媊絎緰嬣嬼劙剶奵妔纥纾绋绗
vo  以姒姚嫁綻緣緹縱彖娖婕婝紩媞絘絯絩嫙嫨緁嬐疀縼繉縰繸纀臠乆亾兦奺妷姂姟婡媫嫰嬘綊縁縦妋娰緃纵绩绽缇缋缘缬缵胬
vp  妣妮姥怒恕紕紙媳媲總戀奼婖紽彘絏嫕緄緦嬨繐繶孋纚姄姹娡婫媤嫓嬑嬺恏綕総緫緿縂繱纞婲紪綛纰纶纸纺绔绲缌
vq  姅絆絳緯縴攣姩拏挐牂繗繲繨媁嫾絴绊绎绛
vr  如姑始婀紹媧結絡給嫗綰綺綢嬉緘嚮繕轡姁妱姡姞姶姤姛姳姠牁娮砮婠婟婤婄婍絅絇紿婼絧嫆綌絽嫟牄綹紿緺縋縖繾妬妸娝娢娪婮絗絬綗緔繥绍绐结给给络绤绮绱绸绺绾缄缒缮缱辔
vs  幻奶幼努妒妨娉紡勦姖姱嫮縍妰娍娚嫎糼絝絾綉纬纺绔绣
vt  妍姍姘紲媼縊彝媕絣盝嬁縕嬧盭纑妌媪嬄孂緼繿弉彜盠绁缊缢
vu  妃紀娓娩純邕婉統絀媚絕綱嬈縐繞繩孀巒纜奾妧姺姽娊紞紌婘婗媢絖媱媰絻綄綣綯綩緗縌矕乣妉姯娔婋巤糺絶絸綐妑妩娆娆娧紦綂続縄縨纪纯绌绕绕绝统绳绹绻缃缆
vv  妝姦娘娠婊綏裝網嬝縷孃饗纓奻姲娞婑媴緀緌嬛縗繷繯孌纕娤婹婾媅媙嫐嬢孆巛巜縅绥缕缞缨缨缳飨
vw  妯細緇畿牆嬸繙醬甾紬媌媹嬏緧嬙娻婳媨孄孏絤綇緢繬嫱细缁
vx  繡嫍縚卐纃
vy  終緋娒婔嬆孊终绯
w   田
wa  署黯罾圕罯
wb  囿胃圃囧圊圇圌罥羃朙畘羂
wc  四異貫買圓顆黷圚顒黰圎顋
wd  囝困果囷罦罧罺櫐圞毑畭
we  畈畟敤畯畷罬斀囦眔黢
wf  累黑罵鴨羈罘羆黥纍鷝鷶羉鸅鸀鸓圝黒囨眔罴鴫黙
wg  里畦墅墨罹壘羅罜罣畽罿黫壨囯囶疃塁畻缠
wh  囫畛罞黲疁团畼罤黪
wi  母禺蜀團疇囹畤罻団囩国罢罸囜圑畴罖罗
wj  毋圉畢睪罩毌圛罼罱羄斣羁
wk  因瘤畋默斁奰図黩
wl  甲甽界畀囬畍曱罒
wm  國置疊畇罡罝罭黚翾囸疉畳疂疅羁翈鸭鸭鸶鹮鹮
wn  野夥罰黔囥町罽黟劅甼罚罚
wo  囚眾歜圂欭罛歝畂畉畖畡圆爴爴畴贯颗颙
wp  思毗恩愚罷囮毘罠慁罳黓囻囵圐
wq  畔圍疄
wr  回固圄罟略畸點黠圁詈礨羇黵囼畧黬
ws  男黝嬲圀囙围圐
wt  圔黭囲畊盢黸
wu  囤圈黜畹罨黕黖黤黦罍园圏黗氎氎
wv  畏園囡甿褁瞏圜黮睘畩袰
ww  圖畾罶圗畕圙
wy  罪罫畮黣图翈
y   卜
ya  迫音詣詢諸遭諧諳譜識迿誻諙謵譇旝譖齰亯暜竡竲誯諎譮逪旘曺譄譄譛
yb  市肓育肯帝帟訥逍通遇遍靖端膏膂誦誚誧遘膚請論適諦謂講邁謫邇譎齲旆迶离逋斒旓詴遄歶遰諝諞諯遹鬳謞謪謧譋譑齵斾朚禼竬竵肻誵謿讁讑讗迊迌逓遀遆遡祸禑詇逦逳逳韴龋
yc  六亦貞述貲旗選遺頻謙顏韻讀顫龔贛顱讚訹賌遉頏虡鈭諆頝頦錖謓謮譔贇旟譧齞齎顪贙齻亷凟訵謴讃贑迹銮鐜頕顇顔顡鹻凕歵讉遦頉
yd  杗迂迆享施迤桌柴訏訑迷棄途稟誅遊諄課諍謀諜謎譟斿虖竫粲誄誖諃謋謼齫亲凃凓孪斈栾梷椉楽槀歯稾訸詸誟諊逰髞冻净桨祎稁违逇
ye  叔歧返設竣詠詖逮遐敲遝毅諼護敁殶敊逑逡逯毃諏諔叡皻謖謢謏皽謾竷譭邍讂頀齱変攱攴旇竐詉誛誜諁逫遚变浆訯詜邌
yf  京紊烹逖紫詼遜熟諒談遮諫遼齋譙鶉讜祡鳪鳼鴗旚謜鮆鵁謶謤齌譕鶁鵫鶙鶐龒鷟讌鷲鷾鸇鸆虪鸕鸗亰凉凚凛歳点禀誴譌还迩驘驡鴍鵉鵺鶕鶮尗旀逊遤邎鴋鴜齽
yg  主望逞逛童註逵進詮遑雍塾誑雌誰壅暹壑離雜韹壟邏齷迋觜誆詿遳諲諻讙堃墪壮歱竰誈誔諥讍雐壡迬龌
yh  步彥彪訝診歲彰諺謬迓玅虙訬逤逿虨齖齴冴广彣彦歩竕竧虝訜諹謭謲递逷遃遪产竗衤辸辺
yi  玄玆討孰訟鹵逸詩颯導諷遵戲謝譏議齡讒竑歭訒旍竤詅戠誸諓虥譐譸蠪凇対将战戯戱歺畆竛竱蚉蛮蝱螡蠭訋訍訙詂詃誐謉譵讛过迏祷禌竴螀訉詓运迲鹷鹷齢龄
yj  斗辛迅卒卓計訐訊率許連逢章評運誶辨辦避瓣譁譚辮譯辯聾顰迕逴諀遧諢諵諿韸謘謰譂嚲讘凖凙竍竏詽誀諽辡辧辪辬迁逬遟韼亸斊禅竨辩辩辫辻迀逹遖颦齳
yk  文交夜放奕效虔送族訣敦虞詨誤敵遨邀謨獻迖迗訞敨詙誒敹遫謑韺譈譀龑讞决凑卥头奌奨状竢訩詾謸譤讝达这齩卤訤詇逘飒
yl  迎近郊訓訢速逝部郭新鄗辣邙邟邡旂竦詶鄐鄣齗齘亣冲凁斉斋斎斺訆訠訲誎譳迧逥郂齐丬訷迚齑齑齢齭龂
ym  上止些虐訌旌產逕虛証詛詆試遢誼誕謹齟讖与翊斌詌亶甝詡誙諠謔諈韰謆邅謯翽譠譅鹺亹譾斖讈齏亱旜歮産竩虗虘虚訨詚諩謃譃韲韵冮冯氵祃辷迳迳鸬鸬鸾鸾鹑鹑鹫鹫鹯鹯鹾龃
yn  亢亨迄刻亭訂剖訖處剷逾劇劑嬴諭甕羸贏斻迒瓬迾迻瓿誃劌甋謻齕蠃甗臝鸁凴刘剠剤弯旊竌竚訅訡詝諪逻髚乧乲乻亴剂誗赢跄辽髛鹶鹶鼑龁
yo  亥迭畝逃旋逐該遂誣豪諛齒遽邃瓤齪鹼欬欳旐胔詄歆誂豦歊歑諑誺遯歔諟遾斔螤旞譣譹譺仧歒歨脔誱譢蹵逨遈齼亪亪欤氺畒祯膐訳諚豙贞赀资赟赣赵跞込迟遗遬颃颅颏频颜颤鹸齿龊
yp  此忘氓亳託旎訛意詫誌認慮龍齜邐虍忐忞迡惄詑訿誋諗憝諰齔謥譓齥譿讔戇龘恋恴戅訫譩迱冺悥戆旕虑誮迃龀龇龖龖
yq  牽詳達違諱遴遲邂逄詊撉冸挛遅冿旔旔连连
yr  占吝言迦迢迥迨站迴追逅高商這造啻詞詁詔訶週裔詰話詬詻訾過旖語誥遣韶調諮諾譆譫鹹齣譴齬呰迠竘迵适迼砦逜詀詗詒逭詷詺逽諴謒謳譗齠齝礱讋齮讟减咅啙旑竒訽詥誝誩諣謌逈邉髙兘卨吂啇噵祻訁譶譶逧龆龉
ys  方劾旁訪透詐虜誇誠誘虧謗邊卣迉迮勍逌詎詏勯諤勴謣勷齶効勏勭勮歫边遌髝齚劥劥卢虏辸迃迈违  
yt  立弈迸逗誡盧謐證衁迣詍誁竮諡邆謚髜齍齛齸凒弃盀盗竔竝竳訮逩竎进龏
yu  充乩盲虎亮兗記訕逆毫竟就督詭道遁睿說遙遞遷親氈謊謠邈競巟辿迍旄眥訰訧旒覘詘詵覤諕誽氃虤遶遻謅謕罋覷譊譝齙齯齺齾兖况凂峦斍竓竜竸覫覰覻訦詋詯誢説誳选郶齓乵竞虠视觇觑読謡远遥韷龅
yv  亡妄衣巡妾哀旅衰衷退袞逶裒遏竭裹遠褒諉謁諶餐褻襄還邋齦襲讓玈袤袬袌袲裛裻誫誏褎諘飺褭褱褢謱譪譨饔裏妆姕嬜衮衺袠裦裵褏襃詤詪誷逺遱飡亵娈斏旈旈装譞譲龈
yw  迪畜迺逼遛斕遒諨旛譒讄讅讕畗諌譡逎亩斓斓旙旙酱醤
yx  齊諂謟讇齨
yy  卞卡於訃訴誨誹旃歬迯
xf  ╒╤╕╞╪╡╘╧╛
xh  ╓╥╖╟╫╢╙╨╜
xl  ║
xm  ═
xo  ╭╮╰╯
xr  ╔╦╗╠╬╣╚╩╝
